taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
2988113,Filipendula rubra,Cfb,Temperate oceanic climate,7,392,0.017857142857142856
5371684,Caltha leptosepala,Cfc,Subpolar oceanic climate,4,1446,0.0027662517289073307
5371684,Caltha leptosepala,Dwc,Monsoon-influenced subarctic climate,1,1446,6.915629322268327e-4
2717678,Eleocharis vivipara,Aw,"Tropical savanna, wet",5,82,0.06097560975609756
2926921,Clinopodium brownei,Csa,Hot-summer Mediterranean climate,2,668,0.0029940119760479044
2865980,Blyxa japonica,Dwa,Monsoon-influenced hot-summer humid continental climate,4,56,0.07142857142857142
3046246,Cardamine lyrata,Dwb,Monsoon-influenced warm-summer humid continental climate,4,142,0.028169014084507043
3046246,Cardamine lyrata,Dwc,Monsoon-influenced subarctic climate,14,142,0.09859154929577464
7327426,Echinodorus grandiflorus,Af,Tropical rainforest climate,17,336,0.050595238095238096
3986548,Cabomba aquatica,NA,NA,35,172,0.20348837209302326
3032613,Darmera peltata,NA,NA,3,785,0.003821656050955414
3674859,Alternanthera reineckii,NA,NA,2,20,0.1
5328812,Echinodorus grisebachii,NA,NA,7,79,0.08860759493670886
8269085,Fontinalis antipyretica,NA,NA,8,1014,0.007889546351084813
3723590,Gunnera magellanica,Cfc,Subpolar oceanic climate,12,320,0.0375
3086504,Anemopsis californica,BSh,Hot semi-arid (steppe) climate,359,2808,0.12784900284900286
2715505,Cyperus prolifer,Am,Tropical monsoon climate,8,268,0.029850746268656716
2715828,Cyperus haspan,BSh,Hot semi-arid (steppe) climate,176,4238,0.04152902312411515
8330991,Ceratopteris cornuta,Aw,"Tropical savanna, wet",31,73,0.4246575342465753
5329260,Egeria densa,BSk,Cold semi-arid (steppe) climate,272,3053,0.08909269570913855
3086504,Anemopsis californica,NA,NA,31,2808,0.01103988603988604
5330776,Colocasia esculenta,Csb,Warm-summer Mediterranean climate,243,5292,0.04591836734693878
3986548,Cabomba aquatica,Aw,"Tropical savanna, wet",25,172,0.14534883720930233
2691022,Eriocaulon cinereum,Af,Tropical rainforest climate,6,625,0.0096
2716311,Cyperus papyrus,Af,Tropical rainforest climate,55,1264,0.043512658227848104
2691022,Eriocaulon cinereum,NA,NA,6,625,0.0096
8034409,Canna indica,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,512,12261,0.041758421009705574
2808791,Bletilla striata,NA,NA,3,313,0.009584664536741214
2865980,Blyxa japonica,Cwa,Monsoon-influenced humid subtropical climate,4,56,0.07142857142857142
5330776,Colocasia esculenta,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,56,5292,0.010582010582010581
2865980,Blyxa japonica,NA,NA,2,56,0.03571428571428571
2703041,Arundo donax,Dwc,Monsoon-influenced subarctic climate,5,27114,1.8440657962676108e-4
