taxonKey,species,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
2227241,Procambarus viaeviridis,14,Cfa,22,22,1
2227043,Faxonius ozarkae,14,Cfa,34,34,1
2227254,Procambarus pubescens,14,Cfa,27,27,1
2227013,Faxonius nais,14,Cfa,15,16,0.9375
2227214,Procambarus hayi,14,Cfa,55,55,1
2227376,Lacunicambarus acanthura,14,Cfa,24,24,1
2227303,Procambarus lunzi,14,Cfa,16,16,1
2227046,Faxonius etnieri,14,Cfa,12,12,1
2227391,Cambarus longirostris,14,Cfa,91,91,1
2227155,Procambarus penni,14,Cfa,13,13,1
2227427,Cambarellus diminutus,14,Cfa,2,2,1
2227045,Faxonius cristavarius,14,Cfa,46,46,1
2227328,Cambarus chaugaensis,14,Cfa,35,35,1
2227012,Faxonius tricuspis,14,Cfa,1,1,1
2227103,Fallicambarus oryktes,14,Cfa,3,3,1
2227022,Faxonius compressus,14,Cfa,34,34,1
2227057,Faxonius obscurus,14,Cfa,20,29,0.6896551724137931
2227361,Cambarus rusticiformis,14,Cfa,69,69,1
7194594,Orconectes inermis,14,Cfa,5,5,1
2227034,Faxonius alabamensis,14,Cfa,20,20,1
2227062,Faxonius peruncus,14,Cfa,6,6,1
2227011,Orconectes jeffersoni,14,Cfa,8,8,1
2227063,Faxonius williamsi,14,Cfa,7,7,1
2227396,Cambarus speciosus,14,Cfa,5,5,1
2227092,Faxonius kentuckiensis,14,Cfa,7,7,1
4648476,Euastacus australasiensis,14,Cfa,57,79,0.7215189873417721
2227292,Procambarus kensleyi,14,Cfa,13,13,1
4648609,Cherax quadricarinatus,14,Cfa,5,127,0.03937007874015748
2227390,Cambarus fasciatus,14,Cfa,15,15,1
7039992,Procambarus pubischelae,14,Cfa,8,8,1
2227379,Cambarus nodosus,14,Cfa,14,14,1
2227322,Cambarus ortmanni,14,Cfa,5,5,1
2227368,Cambarus deweesae,14,Cfa,3,3,1
2227056,Faxonius causeyi,14,Cfa,1,5,0.2
2227149,Procambarus howellae,14,Cfa,20,20,1
2227051,Faxonius meeki,14,Cfa,7,7,1
2227422,Faxonella beyeri,14,Cfa,1,1,1
2227197,Procambarus leonensis,14,Cfa,2,2,1
2227359,Cambarus hamulatus,14,Cfa,9,9,1
2227020,Faxonius hathawayi,14,Cfa,6,6,1
2227284,Procambarus jaculus,14,Cfa,3,3,1
2227002,Faxonius marchandi,14,Cfa,2,2,1
2227005,Faxonius mississippiensis,14,Cfa,13,13,1
2227124,Distocambarus youngineri,14,Cfa,3,3,1
2227154,Procambarus pallidus,14,Cfa,5,6,0.8333333333333334
2227351,Cambarus bouchardi,14,Cfa,5,5,1
2227369,Cambarus hubbsi,14,Cfa,8,8,1
2227358,Cambarus friaufi,14,Cfa,6,6,1
2227177,Procambarus truculentus,14,Cfa,1,1,1
2227367,Cambarus maculatus,14,Cfa,16,16,1
2227040,Orconectes inermis,14,Cfa,3,3,1
2224037,Samastacus spinifrons,15,Cfb,7,9,0.7777777777777778
5789985,Cambarus brimleyorum,14,Cfa,25,25,1
2227330,Cambarus georgiae,14,Cfa,36,36,1
4648464,Euastacus reductus,14,Cfa,30,30,1
5789981,Faxonius theaphionensis,14,Cfa,1,1,1
4648530,Engaeus mallacoota,14,Cfa,2,2,1
8879526,Procambarus virginalis,14,Cfa,3,4,0.75
